gameId,gameDate,mP_ev,mP_pp,mP_sh,FW_ev,FW_pp,FW_sh,FL_ev,FL_pp,FL_sh,HG_ev,HG_pp,HG_sh,HT_ev,HT_pp,HT_sh,TW_ev,TW_pp,TW_sh,GW_ev,GW_pp,GW_sh,MD_ev,MD_pp,MD_sh,MC_ev,MC_pp,MC_sh,CF_ev,CF_pp,CF_sh,CA_ev,CA_pp,CA_sh,FF_ev,FF_pp,FF_sh,FA_ev,FA_pp,FA_sh,SF_ev,SF_pp,SF_sh,SA_ev,SA_pp,SA_sh,GF_ev,GF_pp,GF_sh,GA_ev,GA_pp,GA_sh,APF_ev,APF_pp,APF_sh,APA_ev,APA_pp,APA_sh,ASF_ev,ASF_pp,ASF_sh,ASA_ev,ASA_pp,ASA_sh,RSF_ev,RSF_pp,RSF_sh,RSA_ev,RSA_pp,RSA_sh,RBF_ev,RBF_pp,RBF_sh,RBA_ev,RBA_pp,RBA_sh,RCF_ev,RCF_pp,RCF_sh,RCA_ev,RCA_pp,RCA_sh
2018020530,2018-12-20,47.4,4.65,7.95,21,5,3,28,2,6,19,0,3,22,1,2,10,0,1,7,1,0,6,2,0,6,2,0,45,11,2,36,0,9,37,9,2,28,0,7,21,8,2,21,0,4,1,2,0,1,0,0,1,2,0,1,0,0,1,2,0,0,0,0,2,0,1,0,0,0,2,1,0,3,0,0,2,1,0,3,0,0
2018020545,2018-12-22,54.800000000000004,2.05,3.15,25,3,2,31,1,1,21,0,3,23,0,0,13,0,0,8,1,0,2,2,2,4,0,0,50,10,2,49,0,5,39,9,2,38,0,4,24,6,2,29,0,1,2,2,1,2,0,0,2,2,1,2,0,0,2,2,1,2,0,0,6,0,0,1,0,0,2,1,0,2,0,0,2,1,0,2,0,0
2018020560,2018-12-23,45.71666666666667,9.216666666666667,5.066666666666666,36,6,3,24,4,2,38,1,2,32,0,0,4,1,0,5,1,0,10,0,0,2,0,4,40,19,1,49,7,12,32,13,1,37,7,8,22,8,0,26,5,6,2,1,0,3,2,0,2,1,0,3,2,0,2,1,0,2,0,0,3,0,0,2,3,0,3,4,0,3,1,1,3,4,0,3,1,1
2018020567,2018-12-27,50.21666666666667,4,5.783333333333333,26,4,2,19,2,4,20,0,0,28,0,0,8,0,0,17,0,0,4,0,0,6,0,2,62,8,2,40,3,7,45,6,2,36,3,7,36,4,2,27,3,3,1,1,0,4,0,1,1,1,0,3,0,1,1,0,0,3,0,1,3,0,0,5,1,0,2,0,0,3,0,0,2,0,0,3,0,0
2018020587,2018-12-29,54.2,5.383333333333334,4.15,23,3,1,21,1,2,20,0,1,19,1,0,3,0,0,4,1,0,4,0,4,4,0,2,58,15,2,43,2,5,49,12,2,32,2,4,33,7,2,25,1,2,2,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,7,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0
2018020612,2019-01-01,47.483333333333334,5.4,7.116666666666666,22,4,3,27,3,7,28,0,2,21,1,3,8,2,0,11,0,1,4,4,2,8,0,0,40,15,2,49,0,14,33,9,2,34,0,10,28,6,2,30,0,8,1,2,1,2,0,0,1,2,1,2,0,0,1,1,0,2,0,0,8,0,0,5,0,2,1,2,0,6,0,0,1,2,0,6,0,0
2018020622,2019-01-03,49.833333333333336,3.6333333333333333,6.533333333333333,14,2,3,26,1,2,26,0,1,21,1,0,10,0,0,11,2,3,2,4,2,6,0,2,30,10,5,59,3,9,21,6,5,46,3,6,18,4,5,30,3,4,3,2,1,3,1,0,3,2,1,3,1,0,2,2,1,3,0,0,4,0,0,3,0,1,0,0,0,6,2,0,0,0,0,6,2,0
2018020638,2019-01-05,54,4,2,30,4,1,24,2,2,24,1,1,28,3,1,12,1,0,8,0,0,4,0,0,2,0,0,56,7,2,54,1,2,46,7,1,43,1,2,35,5,1,29,1,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,1,0,0,3,0,0,1,0,0,3,0,0
2018020657,2019-01-08,53.266666666666666,1.3,5.433333333333334,29,1,4,27,1,1,18,0,3,28,0,0,6,0,1,11,0,1,2,0,2,6,0,0,44,4,0,49,0,2,36,3,0,32,0,1,25,2,0,24,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,1,0,0,4,0,0,1,0,0,2,0,0,1,0,0,2,0,0
2018020671,2019-01-10,47.35,8.65,4,32,6,4,16,6,0,23,0,2,26,5,1,11,0,1,4,1,1,8,2,0,4,0,0,55,17,2,30,3,6,41,14,1,24,3,5,28,12,1,17,3,2,1,1,0,3,1,0,1,1,0,3,0,0,1,1,0,1,0,0,2,0,1,1,0,2,5,1,0,2,0,0,5,1,0,2,0,0
