"task","candidate","modelFile","feature","gain","gainShare","rank"
"AAV%","XGBoost","aavP2.rds","assists_2_pp_p60_avg",0.00500586213248413,0.00500586213248413,11
"AAV%","XGBoost","aavP2.rds","giveaways_2_pp_p60_avg",0.00426809956262562,0.00426809956262562,12
"AAV%","XGBoost","aavP2.rds","dAssists_2_pp_p60_avg",0.00344858053979115,0.00344858053979115,13
"AAV%","XGBoost","aavP2.rds","iGF_2_ev_p60_avg",0.00342670330855222,0.00342670330855222,14
"AAV%","XGBoost","aavP2.rds","dMP_2_ev_avg",0.00306297199421224,0.00306297199421224,15
"AAV%","XGBoost","aavP2.rds","hits_2_pp_p60_avg",0.00301614052574495,0.00301614052574495,16
"AAV%","XGBoost","aavP2.rds","oxGF_2_ev_p60_avg",0.00288611314656415,0.00288611314656415,17
"AAV%","XGBoost","aavP2.rds","dGiveaways_2_pp_p60_avg",0.00252952744512555,0.00252952744512555,18
"AAV%","XGBoost","aavP2.rds","dIxGF_2_sh_p60_avg",0.00248291990506577,0.00248291990506577,19
"AAV%","XGBoost","aavP2.rds","prevTerm",0.00236980218292126,0.00236980218292126,20
"AAV%","XGBoost","aavP2.rds","oSOGF_2_ev_p60_avg",0.00217251245187664,0.00217251245187664,21
"AAV%","XGBoost","aavP2.rds","x_2_ev_p60_avg",0.00217041135268201,0.00217041135268201,22
"AAV%","XGBoost","aavP2.rds","dBlocks_2_pp_p60_avg",0.00204347169743152,0.00204347169743152,23
"AAV%","XGBoost","aavP2.rds","hits_2_ev_p60_avg",0.00204280661092201,0.00204280661092201,24
"AAV%","XGBoost","aavP2.rds","oGF_2_pp_p60_avg",0.00198735370737355,0.00198735370737355,25
"AAV%","XGBoost","aavP2.rds","dIGF_2_pp_p60_avg",0.00190361960291479,0.0019036196029148,26
"AAV%","XGBoost","aavP2.rds","giveaways_2_ev_p60_avg",0.00186584517726843,0.00186584517726843,27
"AAV%","XGBoost","aavP2.rds","blocks_2_pp_p60_avg",0.00170844034926306,0.00170844034926306,28
"AAV%","XGBoost","aavP2.rds","oGA_2_pp_p60_avg",0.00168861885736185,0.00168861885736185,29
"AAV%","XGBoost","aavP2.rds","oxGF_2_sh_p60_avg",0.00158124815253075,0.00158124815253075,30
"AAV%","XGBoost","aavP2.rds","dOGF_2_sh_p60_avg",0.00150592342103734,0.00150592342103734,31
"AAV%","XGBoost","aavP2.rds","dY_2_sh_p60_avg",0.00145187380217597,0.00145187380217597,32
"AAV%","XGBoost","aavP2.rds","dMP_2_pp_avg",0.00140642427820994,0.00140642427820994,33
"AAV%","XGBoost","aavP2.rds","blocks_2_ev_p60_avg",0.00139977819790994,0.00139977819790994,34
"AAV%","XGBoost","aavP2.rds","oSOGA_2_ev_p60_avg",0.00136120490288497,0.00136120490288497,35
"AAV%","XGBoost","aavP2.rds","oGA_2_ev_p60_avg",0.00132740645051872,0.00132740645051872,36
"AAV%","XGBoost","aavP2.rds","dTakeaways_2_pp_p60_avg",0.00129817470222729,0.0012981747022273,37
"AAV%","XGBoost","aavP2.rds","takeaways_2_ev_p60_avg",0.00127515534041413,0.00127515534041413,38
"AAV%","XGBoost","aavP2.rds","oFenwickA_2_ev_p60_avg",0.00124799559976354,0.00124799559976354,39
"AAV%","XGBoost","aavP2.rds","iCorsiF_2_pp_p60_avg",0.00122364864872069,0.00122364864872069,40
"AAV%","XGBoost","aavP2.rds","dTakeaways_2_sh_p60_avg",0.00120768724236391,0.00120768724236391,41
"AAV%","XGBoost","aavP2.rds","dISOGF_2_sh_p60_avg",0.00120248387346208,0.00120248387346208,42
"AAV%","XGBoost","aavP2.rds","mP_2_sh_avg",0.00117704732889445,0.00117704732889446,43
"AAV%","XGBoost","aavP2.rds","giveaways_2_sh_p60_avg",0.00114755155561314,0.00114755155561314,44
"AAV%","XGBoost","aavP2.rds","dOGF_2_ev_p60_avg",0.00113461873312008,0.00113461873312008,45
"AAV%","XGBoost","aavP2.rds","dAssists_2_sh_p60_avg",0.0011241512284195,0.0011241512284195,46
"AAV%","XGBoost","aavP2.rds","iGF_2_pp_p60_avg",0.00111642837784541,0.00111642837784541,47
"AAV%","XGBoost","aavP2.rds","dIFenwickF_2_sh_p60_avg",0.00102893562549691,0.00102893562549691,48
"AAV%","XGBoost","aavP2.rds","iSOGF_2_pp_p60_avg",0.000982386555632429,0.000982386555632429,49
"AAV%","XGBoost","aavP2.rds","y_2_sh_p60_avg",0.00096985374200407,0.000969853742004071,50
"AAV%","XGBoost","aavP2.rds","oGF_2_sh_p60_avg",0.00095690847904392,0.00095690847904392,51
"AAV%","XGBoost","aavP2.rds","dOGF_2_pp_p60_avg",0.000952383785469483,0.000952383785469484,52
"AAV%","XGBoost","aavP2.rds","oSOGF_2_pp_p60_avg",0.000945557605484464,0.000945557605484465,53
"AAV%","XGBoost","aavP2.rds","takeaways_2_pp_p60_avg",0.00094256624732611,0.00094256624732611,54
"AAV%","XGBoost","aavP2.rds","dOGA_2_pp_p60_avg",0.000930338033749514,0.000930338033749515,55
"AAV%","XGBoost","aavP2.rds","dHits_2_pp_p60_avg",0.000887531534863476,0.000887531534863477,56
"AAV%","XGBoost","aavP2.rds","blocks_2_sh_p60_avg",0.000886892286247148,0.000886892286247148,57
"AAV%","XGBoost","aavP2.rds","takeaways_2_sh_p60_avg",0.000880325155065183,0.000880325155065183,58
"AAV%","XGBoost","aavP2.rds","dIGF_2_ev_p60_avg",0.000871579028225464,0.000871579028225464,59
"AAV%","XGBoost","aavP2.rds","oCorsiA_2_ev_p60_avg",0.000867754158772466,0.000867754158772466,60
"AAV%","XGBoost","aavP2.rds","dOGA_2_sh_p60_avg",0.000842688531515749,0.00084268853151575,61
"AAV%","XGBoost","aavP2.rds","dOSOGF_2_sh_p60_avg",0.000802874443442973,0.000802874443442973,62
"AAV%","XGBoost","aavP2.rds","oxGA_2_pp_p60_avg",0.000734699583318518,0.000734699583318518,63
"AAV%","XGBoost","aavP2.rds","dOSOGF_2_pp_p60_avg",0.000727011948835866,0.000727011948835866,64
"AAV%","XGBoost","aavP2.rds","dBlocks_2_sh_p60_avg",0.000698465718128733,0.000698465718128733,65
"AAV%","XGBoost","aavP2.rds","dTakeaways_2_ev_p60_avg",0.00068477431423123,0.00068477431423123,66
"AAV%","XGBoost","aavP2.rds","iFenwickF_2_sh_p60_avg",0.000653979516946572,0.000653979516946572,67
"AAV%","XGBoost","aavP2.rds","iFenwickF_2_pp_p60_avg",0.000642448448006196,0.000642448448006196,68
"AAV%","XGBoost","aavP2.rds","dGiveaways_2_ev_p60_avg",0.000642144613521639,0.000642144613521639,69
"AAV%","XGBoost","aavP2.rds","dBlocks_2_ev_p60_avg",0.000633163792485581,0.000633163792485581,70
