playerId,mP_2_all,x_2_all,y_2_all,CorsiA_2_all,FenwickA_2_all,SOGA_2_all,GA_2_all,xGA_2_all,mP_3_all,x_3_all,y_3_all,CorsiA_3_all,FenwickA_3_all,SOGA_3_all,GA_3_all,xGA_3_all
8478971,1586.6666666666667,59.999222999223,0.317016317016317,1287,1287,960,89,96.90677390749042,0,NA,NA,0,0,0,0,0
8479193,2065.95,59.79545454545455,-0.4974025974025974,1540,1540,1142,109,114.05343215214815,0,NA,NA,0,0,0,0,0
8479292,1692.0666666666666,60.43087362171332,-0.4444444444444444,1179,1179,853,86,84.96912400177148,0,NA,NA,0,0,0,0,0
8479312,893.1833333333333,62.011730205278596,-0.8900293255131965,682,682,489,43,49.06382242690411,198.53333333333333,58.96774193548387,1.729032258064516,155,155,107,12,10.311081522104597
8479361,416.43333333333334,62.28333333333333,0.5333333333333333,300,300,219,15,19.79935761370848,197.91666666666666,57.84251968503937,1.6377952755905512,127,127,94,8,9.373322077012139
8479380,20,63.904761904761905,-4.571428571428571,21,21,13,1,1.7855102377588283,0,NA,NA,0,0,0,0,0
8479394,3163.766666666667,59.254172015404365,0.3427471116816431,2337,2337,1665,155,160.00891561383355,0,NA,NA,0,0,0,0,0
8479406,2310.9333333333334,58.93632504548211,-0.6822316555488175,1649,1649,1173,81,104.6931424570814,308.53333333333336,58.148471615720524,-0.4585152838427948,229,229,151,12,13.35354958454308
8479496,1121.6833333333334,58.89523809523809,0.16870748299319727,735,735,506,50,47.479594933697456,0,NA,NA,0,0,0,0,0
8479973,2903.0833333333335,60.06085289889794,-0.3814087206516531,2087,2087,1537,133,152.39000406013727,618.95,61.64748201438849,0.8465227817745803,417,417,325,38,29.55164755264704
8479979,3644.883333333333,59.22178217821782,-0.4514851485148515,2525,2525,1777,144,162.2173927345597,1077.7666666666667,57.97662337662338,0.44155844155844154,770,770,525,55,46.39104827477435
8480042,63.983333333333334,60.46153846153846,-1.8461538461538463,52,52,39,5,3.355873185597878,0,NA,NA,0,0,0,0,0
8480045,1910.2166666666667,60.31131412508784,0.8123682361208714,1423,1423,1055,115,105.39447067895108,0,NA,NA,0,0,0,0,0
8480051,138.58333333333334,66.56962025316456,1.1139240506329113,79,79,54,8,6.705072953377222,0,NA,NA,0,0,0,0,0
8480193,874.1333333333333,60.31983805668016,1.0958164642375168,741,741,528,57,50.348158794208224,0,NA,NA,0,0,0,0,0
8480199,84.33333333333333,62.71739130434783,-0.391304347826087,46,46,32,3,3.1138182435885637,0,NA,NA,0,0,0,0,0
8480238,120,63.022222222222226,-0.5222222222222223,90,90,70,5,7.523792173907191,0,NA,NA,0,0,0,0,0
8480263,118.86666666666666,59.56637168141593,0.8495575221238938,113,113,83,5,8.117834505955885,0,NA,NA,0,0,0,0,0
8480280,2012.9833333333333,59.5614934114202,0.718887262079063,1366,1366,953,76,93.57742957105953,71.76666666666667,58.023809523809526,-10.547619047619047,42,42,32,4,2.4671967841875007
8480313,2171.366666666667,58.8,0.0058823529411764705,1530,1530,1132,96,98.43982158418973,0,NA,NA,0,0,0,0,0
8480382,3700.3333333333335,59.68882769472856,0.07435090479937058,2542,2542,1905,156,170.52407797871945,415.3666666666667,59.25170068027211,-0.027210884353741496,294,294,210,18,16.686993445977905
8480420,1135.6666666666667,60.96666666666667,0.17066666666666666,750,750,526,62,57.197732982476445,0,NA,NA,0,0,0,0,0
8480843,1062.7166666666667,61.39877300613497,1.0296523517382412,978,978,679,67,71.08431361464537,0,NA,NA,0,0,0,0,0
8480867,182.2,60.19767441860465,-0.4418604651162791,172,172,119,10,13.382822247766509,0,NA,NA,0,0,0,0,0
8480925,964.5333333333333,59.326836581709145,0.5667166416791605,667,667,493,42,42.43657662935123,0,NA,NA,0,0,0,0,0
8480947,1069.1666666666667,60.23941958887546,2.1862152357920195,827,827,583,49,55.57289302742557,0,NA,NA,0,0,0,0,0
8480981,317.2,62.24576271186441,0.5932203389830508,236,236,179,17,16.574360704724377,0,NA,NA,0,0,0,0,0
8481020,117.33333333333333,59.455882352941174,-0.14705882352941177,68,68,48,7,4.419479396313298,0,NA,NA,0,0,0,0,0
8481031,422.03333333333336,59.942424242424245,-0.8696969696969697,330,330,234,28,24.155903185497174,0,NA,NA,0,0,0,0,0
8481033,901.35,59.086355785837654,0.3126079447322971,579,579,408,32,40.46501427024749,459.76666666666665,60.997067448680355,1.1026392961876832,341,341,229,18,21.092486680785104
8481035,644.9166666666666,60.74741200828157,-0.453416149068323,483,483,327,33,37.11123556428485,0,NA,NA,0,0,0,0,0
8481519,1168.75,58.69987995198079,0.2617046818727491,833,833,627,62,58.51015092195989,0,NA,NA,0,0,0,0,0
8481544,1047.5,59.8185595567867,-0.15650969529085873,722,722,524,58,62.80519308135378,0,NA,NA,0,0,0,0,0
8481611,1403.9333333333334,60.84749708963911,1.1490104772991852,859,859,627,57,63.785227502543094,39.11666666666667,67.82142857142857,-4,28,28,22,4,2.2613905486690955
8481668,305.93333333333334,56.554455445544555,0.039603960396039604,202,202,152,14,13.23513404651589,0,NA,NA,0,0,0,0,0
8481692,59.9,52.30555555555556,1.3611111111111112,36,36,24,1,2.25122781324595,0,NA,NA,0,0,0,0,0
8482137,57.833333333333336,51.745098039215684,0,51,51,35,4,3.6266438134334353,0,NA,NA,0,0,0,0,0
8482221,429.01666666666665,63.03525641025641,1,312,312,222,21,23.24618610144231,0,NA,NA,0,0,0,0,0
8482447,85.08333333333333,56.52857142857143,0.34285714285714286,70,70,49,6,4.875636551806014,0,NA,NA,0,0,0,0,0
8482821,835.2333333333333,59.28685897435897,-0.9230769230769231,624,624,453,48,45.098682317678914,0,NA,NA,0,0,0,0,0
8482982,58.95,63.661764705882355,0.11764705882352941,68,68,49,3,6.152381884585548,0,NA,NA,0,0,0,0,0
8483158,2.433333333333333,48,31,1,1,1,0,0.008057147767407041,0,NA,NA,0,0,0,0,0
8483530,363.5,61.31617647058823,0.5808823529411765,272,272,191,17,17.666417905702,0,NA,NA,0,0,0,0,0
8483575,177.03333333333333,62.319148936170215,-0.7659574468085106,94,94,64,10,7.688913408023759,0,NA,NA,0,0,0,0,0
8483183,1.1666666666666667,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0
