playerId,playerFullName,gamesPlayed_20242025_2,timeOnIce_20242025_2,iFenwickA_20242025_2,iFenwickAper82_20242025_2,iFenwickAper60_20242025_2,iSOGA_20242025_2,iSOGAper82_20242025_2,iSOGAper60_20242025_2,iGA_20242025_2,iGAper82_20242025_2,iGAper60_20242025_2,ixGA_20242025_2,ixGAper82_20242025_2,ixGAper60_20242025_2,iGSaX_20242025_2,iGSaXper82_20242025_2,iGSaXper60_20242025_2,gamesPlayed_20242025_3,timeOnIce_20242025_3,iFenwickA_20242025_3,iFenwickAper82_20242025_3,iFenwickAper60_20242025_3,iSOGA_20242025_3,iSOGAper82_20242025_3,iSOGAper60_20242025_3,iGA_20242025_3,iGAper82_20242025_3,iGAper60_20242025_3,ixGA_20242025_3,ixGAper82_20242025_3,ixGAper60_20242025_3,iGSaX_20242025_3,iGSaXper82_20242025_3,iGSaXper60_20242025_3
8477405,Marcus Hogberg,15,728.2166666666667,586,3203.466666666667,48.28233355457396,376,2055.4666666666667,30.979790813173732,41,224.13333333333333,3.3781154876067103,40.39110660506413,220.80471610768393,3.327946897174167,-0.608893394935869,-3.328617225649417,-0.05016859043254362,0,0,0,0,0,376,Inf,Inf,0,0,0,0,0,0,0,0,0
8477424,Juuse Saros,58,3357.8166666666666,2367,3346.448275862069,42.295340722394016,1628,2301.655172413793,29.090331515022164,167,236.10344827586206,2.984081918310013,163.16974572424078,230.6882611963404,2.9156400468919133,-3.8302542757592164,-5.415187079521651,-0.06844187141809994,0,0,0,0,0,1628,Inf,Inf,0,0,0,0,0,0,0,0,0
8477465,Tristan Jarry,36,2019.9,1546,3521.4444444444443,45.923065498292,1027,2339.277777777778,30.50646071587702,105,239.16666666666666,3.1189662854596762,102.4043110695784,233.25426410292857,3.041862797254668,-2.595688930421602,-5.912402563738094,-0.07710348820500822,0,0,0,0,0,1027,Inf,Inf,0,0,0,0,0,0,0,0,0
8477480,Eric Comrie,20,1179.55,879,3603.9,44.71196642787504,575,2357.5,29.248442202534864,47,192.70000000000002,2.390742232207198,53.3810624347534,218.86235598248894,2.7153268162309394,6.381062434753403,26.16235598248895,0.32458458402374146,3,42.983333333333334,20,546.6666666666667,27.91779759596743,575,15716.666666666666,802.6366808840636,1,27.333333333333332,1.3958898797983714,1.5963876345194876,43.63459534353266,2.228381343261014,0.5963876345194876,16.30126201019933,0.8324914634626426
8477484,Spencer Martin,9,415.98333333333335,330,3006.6666666666665,47.59806081974438,216,1968,31.155094354741774,27,246,3.8943867943427217,24.31729727704078,221.55759741303822,3.5074430144375497,-2.6827027229592204,-24.442402586961787,-0.3869437799051722,0,0,0,0,0,216,Inf,Inf,0,0,0,0,0,0,0,0,0
8477831,Pheonix Copley,1,27.483333333333334,12,984,26.19769557307459,12,984,26.19769557307459,2,164,4.366282595512431,1.2146438884083182,99.60079884948209,2.6517392348513917,-0.7853561115916818,-64.39920115051791,-1.7145433606610399,0,0,0,0,0,12,Inf,Inf,0,0,0,0,0,0,0,0,0
8477967,Thatcher Demko,23,1301.9666666666667,888,3165.913043478261,40.92270667451804,569,2028.608695652174,26.221869479505365,63,224.60869565217394,2.9033001356921577,66.77522570244037,238.06819598261347,3.077278124488406,3.775225702440366,13.459500330439568,0.1739779887962482,0,0,0,0,0,569,Inf,Inf,0,0,0,0,0,0,0,0,0
8477968,Alex Nedeljkovic,38,2150.85,1593,3437.5263157894733,44.43824534486366,1071,2311.105263157895,29.876560429597603,112,241.68421052631578,3.124346188716089,106.02962963457684,228.80077973777105,2.9577970467836487,-5.970370365423165,-12.883430788544723,-0.1665491419324406,0,0,0,0,0,1071,Inf,Inf,0,0,0,0,0,0,0,0,0
8477970,Vitek Vanecek,25,1393.6333333333334,1169,3834.3199999999997,50.32887655767897,777,2548.56,33.45212753234949,84,275.52,3.6164462197134584,78.52361843752442,257.5574684750801,3.380671941150086,-5.476381562475581,-17.962531524919907,-0.2357742785633726,0,0,0,0,0,777,Inf,Inf,0,0,0,0,0,0,0,0,0
8477990,Brandon Halverson,1,57.95,49,4018,50.73339085418464,35,2870,36.2381363244176,5,410,5.176876617773942,4.198045319877565,344.2397162299603,4.3465525313659,-0.8019546801224351,-65.76028377003968,-0.8303240864080432,0,0,0,0,0,35,Inf,Inf,0,0,0,0,0,0,0,0,0
8477992,Jonas Johansson,19,1110.25,947,4087.0526315789475,51.17766268858365,641,2766.4210526315787,34.64084665615852,58,250.31578947368422,3.134429182616528,68.56912341422867,295.92990105088165,3.7056045078619415,10.56912341422867,45.61411157719742,0.5711753252454134,0,0,0,0,0,641,Inf,Inf,0,0,0,0,0,0,0,0,0
8478007,Elvis Merzlikins,53,3170.9166666666665,2435,3767.3584905660377,46.0750045990907,1630,2521.8867924528304,30.842816220335866,168,259.9245283018868,3.178891487740138,165.7956955723348,256.51409503644254,3.137181698564586,-2.2043044276651926,-3.41043326544426,-0.04170978917555226,0,0,0,0,0,1630,Inf,Inf,0,0,0,0,0,0,0,0,0
8478009,Ilya Sorokin,61,3498.85,2583,3472.2295081967213,44.29455392486103,1695,2278.5245901639346,29.06669334209812,158,212.39344262295083,2.7094616802663736,172.22324340272462,231.51321244300686,2.9533688509548788,14.22324340272462,19.119769820056046,0.24390717068850543,0,0,0,0,0,1695,Inf,Inf,0,0,0,0,0,0,0,0,0
8478024,Ville Husso,13,639.7666666666667,627,3954.923076923077,58.802688480175064,430,2712.3076923076924,40.32720262595738,37,233.3846153846154,3.4700151096754026,39.23796779755503,247.50102764611634,3.679901111634401,2.2379677975550294,14.116412261500955,0.20988600195899823,0,0,0,0,0,430,Inf,Inf,0,0,0,0,0,0,0,0,0
8478039,Kaapo Kahkonen,1,58.266666666666666,113,9266,116.36155606407324,75,6150,77.23112128146454,4,328,4.118993135011442,7.624022386269644,625.1698356741108,7.850823967554553,3.624022386269644,297.1698356741108,3.7318308325431118,0,0,0,0,0,75,Inf,Inf,0,0,0,0,0,0,0,0,0
8478048,Igor Shesterkin,61,3505.133333333333,2717,3652.3606557377047,46.50892976016129,1825,2453.27868852459,31.23989577191548,167,224.49180327868854,2.858664435019115,199.18323111481732,267.7545074002462,3.409568975090545,32.18323111481732,43.262704121557704,0.5509045400714302,0,0,0,0,0,1825,Inf,Inf,0,0,0,0,0,0,0,0,0
8478406,Mackenzie Blackwood,56,3223.633333333333,2413,3533.3214285714284,44.912055754893544,1629,2385.3214285714284,30.319825455748692,137,200.60714285714286,2.5499177946209763,166.85727218468674,244.32671998471986,3.1056374270485283,29.857272184686735,43.719577127577004,0.555719632427552,7,420.75,275,3221.4285714285716,39.21568627450981,1629,19082.571428571428,232.2994652406417,19,222.57142857142858,2.7094474153297683,20.059432588750497,234.98192461107723,2.860525146345882,1.0594325887504965,12.410496039648674,0.15107773101611358
8478435,Dan Vladar,30,1781.0333333333333,1345,3676.3333333333335,45.3107746439333,896,2449.0666666666666,30.18472422376523,83,226.86666666666667,2.7961295876925383,88.35966264613671,241.51641123277366,2.9766875552216145,5.359662646136712,14.649744566107014,0.1805579675290764,0,0,0,0,0,896,Inf,Inf,0,0,0,0,0,0,0,0,0
8478470,Samuel Montembeault,62,3533.983333333333,2650,3504.8387096774195,44.99172322072827,1720,2274.8387096774195,29.202175071567027,166,219.54838709677418,2.818349454581469,202.16222089220537,267.3758405348523,3.432311957762201,36.16222089220537,47.82745343807807,0.6139625031807324,3,152.11666666666667,114,3116,44.965487016544316,1720,47013.333333333336,678.4266462145283,7,191.33333333333334,2.7610386764544756,8.7990605289815,240.50765445882766,3.4706494909974137,1.7990605289814994,49.174321125494316,0.7096108145429382
