playerId,gP_2,mP_2,x_2_std,x_2_all,y_2_std,y_2_all,iCorsiF_2_std,iCorsiF_2_all,iFenwickF_2_std,iFenwickF_2_all,iSOGF_2_std,iSOGF_2_all,iGF_2_std,iGF_2_all,ixGF_2_std,ixGF_2_all,oCorsiF_2_std,oCorsiF_2_all,oFenwickF_2_std,oFenwickF_2_all,oSOGF_2_std,oSOGF_2_all,oGF_2_std,oGF_2_all,oxGF_2_std,oxGF_2_all,oCorsiA_2_std,oCorsiA_2_all,oFenwickA_2_std,oFenwickA_2_all,oSOGA_2_std,oSOGA_2_all,oGA_2_std,oGA_2_all,oxGA_2_std,oxGA_2_all,gP_3,mP_3,x_3_std,x_3_all,y_3_std,y_3_all,iCorsiF_3_std,iCorsiF_3_all,iFenwickF_3_std,iFenwickF_3_all,iSOGF_3_std,iSOGF_3_all,iGF_3_std,iGF_3_all,ixGF_3_std,ixGF_3_all,oCorsiF_3_std,oCorsiF_3_all,oFenwickF_3_std,oFenwickF_3_all,oSOGF_3_std,oSOGF_3_all,oGF_3_std,oGF_3_all,oxGF_3_std,oxGF_3_all,oCorsiA_3_std,oCorsiA_3_all,oFenwickA_3_std,oFenwickA_3_all,oSOGA_3_std,oSOGA_3_all,oGA_3_std,oGA_3_all,oxGA_3_std,oxGA_3_all
8473512,77,1658.8999350000001,67.31785714285714,61.6359649122807,-0.5571428571428572,1.0504385964912282,280,456,202,338,155,242,18,28,16.681344381002496,29.272300400470495,1142,1895,848,1433,640,1036,59,111,59.94413954052255,119.90966175579328,1042,1415,776,1056,563,761,44,78,49.121846900983456,77.9608154815795,10,227.08333333333334,61.083333333333336,61.95238095238095,-0.9444444444444444,0.7619047619047619,36,63,26,49,17,36,2,8,1.6924686025720017,4.771140901059461,125,215,90,163,63,120,6,20,5.5190145165795785,14.975294957912139,144,204,98,144,71,107,7,14,5.703922502237031,11.352732433946763
8473525,54,911.2999500000001,46.67796610169491,47.36507936507937,13.525423728813559,12.952380952380953,59,63,36,39,22,25,1,1,0.9924095128694234,1.180432463959086,599,632,433,456,306,323,31,33,27.687611496402898,29.638201707593474,714,985,532,747,399,541,33,47,38.870643626554184,58.20624768939514,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473526,32,468.88330666666667,61.516666666666666,57.13636363636363,-2.6166666666666667,-0.5454545454545454,120,154,92,115,66,82,5,7,4.721337368227804,6.691032771967152,422,519,322,388,243,294,12,19,17.18893702907963,22.961209134037396,411,431,319,337,227,238,15,16,20.022148713673165,22.994156592670077,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473533,62,1243.4332499999998,67.89893617021276,65.41132075471698,1.2393617021276595,1.5056603773584907,188,265,153,211,107,149,13,25,11.691000362449701,19.38086977051609,907,1238,689,936,506,670,42,64,43.63856426511735,69.47896972158205,765,1069,577,805,410,566,40,56,35.80476725533608,59.49556213957562,6,118.9,66.63157894736842,65.24,8.157894736842104,4.6,19,25,15,20,9,12,4,6,1.247679672651501,1.7345481946809382,87,115,57,77,38,51,8,10,3.520736767283132,5.357535814862616,68,108,54,88,42,71,5,13,3.816251539786904,7.865330235725166
8473534,82,1472.9665466666668,67.06719367588933,64.50133333333333,3.3952569169960474,1.808,253,375,201,298,129,188,15,19,15.313532779817606,26.922222331198732,956,1400,745,1063,512,720,39,57,44.95142193620639,76.83198301414006,944,1247,710,924,505,658,33,47,44.8058181859323,65.27524687454422,9,181.216665,70.25,71.58333333333333,3.45,2.5,20,36,18,33,14,24,1,3,1.240345550309723,3.0742355740159093,109,169,81,126,59,89,5,11,3.702315339400842,8.75587634781331,106,158,72,110,49,75,2,4,4.661099360450844,8.04904206680769
8473537,79,1111.5498816666666,70.0593471810089,66.2,0.7240356083086054,0.5054054054054054,337,370,276,302,195,215,18,22,22.22793181247944,25.34928546783867,1127,1200,873,931,633,674,50,54,59.49511897365718,64.98157560627699,873,906,670,694,489,506,47,50,44.90653874761693,46.7126238677439,6,89.38332999999999,65.5,65.5,5.857142857142857,5.857142857142857,28,28,25,25,20,20,0,0,1.705486310584907,1.705486310584907,104,107,79,82,64,67,1,1,5.171646307569417,5.3905275518369695,70,74,56,60,33,36,2,2,3.4269298938398793,3.7366883107125317
8473542,14,96.51665333333334,69,69,-4.833333333333333,-4.833333333333333,6,6,5,5,4,4,0,0,0.468794496474438,0.468794496474438,70,70,53,53,38,38,1,1,2.7701773428507632,2.7701773428507632,73,73,51,51,34,34,4,4,3.1332946823754724,3.1332946823754724,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473544,74,1208.9166633333334,68.6158940397351,66.90557939914163,2.794701986754967,1.3433476394849786,151,233,105,156,85,125,9,14,8.311639577144527,12.893434971706407,777,1228,572,898,441,690,35,59,37.329224511638984,65.11593941300339,881,975,676,750,508,570,44,58,40.19981661981305,50.49531820106902,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473546,78,1212.4333,64.5,61.48,5.2272727272727275,4.498181818181818,220,275,184,227,139,174,15,20,15.6039483225146,21.61902835186453,861,1008,641,746,476,555,34,43,43.45505021097316,54.48533854610953,973,1208,690,875,492,628,46,65,46.04305309828982,66.62182697108213,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473548,82,1644.5165599999998,65.20413436692506,60.979553903345725,-4.863049095607235,-2.193308550185874,387,538,284,391,218,295,22,37,21.72154654600011,30.60020443480539,1300,1849,935,1326,685,964,65,106,64.13073767077113,99.31305163911023,1346,1460,1030,1123,722,792,71,83,66.47539168256633,79.24991656317549,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473558,71,575.1999916666666,60.27272727272727,61.00970873786408,5.787878787878788,5.572815533980583,99,103,81,84,60,63,6,6,4.296817243308938,4.690722121320763,424,446,329,346,237,249,15,16,16.52987059972491,17.751238657142473,419,469,315,345,229,254,15,17,18.82338978305872,21.73089142474636,5,25.85,72.33333333333333,72.33333333333333,10.333333333333334,10.333333333333334,3,3,2,2,2,2,1,1,0.18755301210532643,0.18755301210532643,20,20,14,14,12,12,2,2,0.9404815802905575,0.9404815802905575,22,23,14,15,9,10,1,1,0.5847162821136549,0.6003199509007617
8473562,10,94.35,68.1875,68.1875,2.0625,2.0625,16,16,15,15,14,14,0,0,1.068250031662081,1.068250031662081,95,97,72,74,56,57,1,1,3.7725101398021827,3.968146682751419,98,99,72,73,51,52,3,3,3.6887687336013015,3.739581070320081,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473563,42,804.8999699999999,63.07017543859649,60.35403726708075,4.719298245614035,2.8322981366459627,114,161,91,131,65,95,9,14,6.2022867143272835,9.734271967971017,564,860,422,659,290,460,24,52,25.58277437741893,46.336671616394874,542,661,408,497,296,358,29,38,25.366385058912943,34.39989807544729,13,279.7666516666667,62.7027027027027,63.68888888888889,7.4324324324324325,4.311111111111111,37,45,29,36,19,25,2,2,1.8141528380354128,2.6005660688552865,191,276,140,202,104,153,7,10,8.421638283503189,13.694347858950492,178,215,127,151,95,111,5,5,6.787168464510564,9.034102021941873
8473564,63,811.0166399999999,65.80882352941177,63.00892857142857,4.931372549019608,3.950892857142857,204,224,143,159,104,117,3,5,8.644976814138001,10.719520670923956,615,673,449,495,322,355,13,20,25.481988399964813,32.912495550097596,585,700,428,511,314,367,27,36,25.831647560208516,32.39688625435959,4,69.51666666666667,62.63157894736842,64.23809523809524,2.1052631578947367,2.5714285714285716,19,21,15,17,11,13,0,2,0.9707959046532636,1.2021110310147116,60,64,42,46,27,31,1,3,2.5580039431298145,3.043314632293458,38,51,28,40,24,33,2,3,2.387509406475226,3.376884096905401
8473565,9,115.98333000000001,41.27272727272727,42.916666666666664,12.818181818181818,14.75,11,12,11,12,4,4,0,0,0.33416233736997397,0.3556008219117678,89,96,76,82,57,60,3,3,4.250757852127044,4.608987057924383,100,107,75,79,53,55,5,5,4.203904931626663,4.5967101922859,3,28.75,31,41,13,17,1,2,1,2,1,2,0,0,0.03142830512617,0.08018902952809556,23,25,16,18,10,12,3,3,1.2226852679081561,1.4505547263777632,19,20,12,13,8,9,0,1,0.9237849174404511,0.9605071779738801
8473568,60,702.85,64.7107438016529,61.13953488372093,0.18181818181818182,-0.1937984496124031,121,129,97,103,62,66,3,3,6.638310468959529,7.463931207190977,580,602,411,429,290,301,11,11,24.180743909428607,25.819424853335935,639,703,465,512,320,354,16,17,27.53547966074251,31.661082831786416,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473569,25,188.91666666666666,63.26315789473684,63.76923076923077,-9.973684210526315,-9.923076923076923,38,39,31,31,22,22,1,1,1.3745488706966318,1.3745488706966318,150,153,112,114,72,73,4,4,5.08627704994524,5.29093108746244,149,149,112,112,80,80,2,2,6.056719990946785,6.056719990946785,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
